# note: fix inconsistency with [l / y] in ~100 words. some words should be <l y> in single syllable.
# note: fix inconsistency with [* / r] in ~100 words. some words should be <* r> in single syllable.

I                                            ay
adverb                                       ae d / v er b
adverbial                                    ax d / v er / b iy / ax l
adversarial                                  ae d / v er / s eh / r iy / ax l
adversary                                    ae d / v er / s eh / r iy
adverse                                      ae d / v er s
adversely                                    ae d / v er s / l iy
adversity                                    ax d / v er / s ax / dx iy
advert                                       ae d / v er t
advertent                                    ax d / v er / t ax n t
advertise                                    ae d / v er / t ay z
advertisement                                ae d / v er / t ay z / m ax n t
advertiser                                   ae d / v er / t ay / z er
advertises                                   ae d / v er / t ay z
advertising                                  ae d / v er / t ay / z ih ng
advertorial                                  ae d / v ax / t ao / r iy / ax l
advice                                       ax d / v ay s
advisability                                 ax d / v ay / z ax / b ih / l ax / dx iy
advisable                                    ax d / v ay / z ax / b ax l
advise                                       ax d / v ay z
advisedly                                    ax d / v ay / z ih d / l iy
advisement                                   ax d / v ay z / m ax n t
adviser                                      ax d / v ay / z er
advises                                      ax d / v ay z
advisory                                     ax d / v ay / z er / iy
advocacy                                     ae d / v ax / k ax / s iy
advocate                                     ae d / v ax / k ey t
adz                                          ae d z
adze                                         ae d z
adzes                                        ae d z
aegean                                       ih / d zh iy / ax n
aegis                                        iy / d zh ih s
aeolian                                      iy / ow / l iy / ax n
aeon                                         iy / aa n
aerate                                       eh / r ey t
aeration                                     eh / r ey / sh ax n
aerator                                      eh / r ey / dx er
aerial                                       eh / r iy / ax l
aerie                                        ih / r iy
aero                                         eh / r ow-
aerobatic                                    eh / r ow / b ae / dx ih k
aerobatics                                   eh / r ow / b ae / dx ih k s
aerobe                                       eh / r ow b
aerobic                                      eh / r ow / b ih k
aerobics                                     eh / r ow / b ih k s
aerodrome                                    eh / r ax / d r ow m
aerodynamic                                  eh / r ow / d ay / n ae / m ih k
aerodynamically                              eh / r ow / d ay / n ae / m ih / k ax / l iy
aerodynamics                                 eh / r ow / d ay / n ae / m ih k s
aerogel                                      eh / r ax / d zh eh l
aerogram                                     eh / r ax / g r ae m
aerogramme                                   eh / r ax / g r ae m
aeronaut                                     eh / r ax / n aa t
aeronautic                                   eh / r ax / n aa / dx ih k
aeronautical                                 eh / r ax / n aa / dx ih / k ax l
aeronautics                                  eh / r ax / n aa / dx ih k s
aerophobia                                   eh / r ax / f ow / b iy / ax
aerophone                                    eh / r ax / f ow n
aeroplane                                    eh / r ax / p l ey n
aerosol                                      eh / r ax / s aa l
aerosolize                                   eh / r ax / s ax / l ay z
aerospace                                    eh / r ow / s p ey s
aerostat                                     eh / r ax / s t ae t
aesthete                                     eh s / th iy t
aesthetic                                    eh s / th eh / dx ih k
aesthetically                                eh s / th eh / dx ih / k ax / l iy
aesthetician                                 eh s / th ax / t ih / sh ax n
aesthetics                                   eh s / th eh / dx ih k s
aestival                                     eh s / t ih / v ax l
aetiology                                    iy / dx iy / aa / l ax / d zh iy
afar                                         ax / f aa r
afc                                          ey / eh f / s iy
affability                                   ae / f ax / b ih / l ax / dx iy
affable                                      ae / f ax / b ax l
affably                                      ae / f ax / b l iy
affair                                       ax / f eh r
affect                                       ax / f eh k t
affectation                                  ae / f eh k / t ey / sh ax n
affectedly                                   ax / f eh k / t ih d / l iy
affecting                                    ax / f eh k / t ih ng
affection                                    ax / f eh k / sh ax n
affectionate                                 ax / f eh k / sh ax / n ax t
affectionately                               ax / f eh k / sh ax / n ax t / l iy
affective                                    ax / f eh k / t ih v
afferent                                     ae / f er / ax n t
affidavit                                    ae / f ax / d ey / v ih t
affiliate                                    ax / f ih / l iy / ey t
affiliation                                  ax / f ih / l iy / ey / sh ax n
affinal                                      ax / f ay / n ax l
affinity                                     ax / f ih / n ax / dx iy
affirm                                       ax / f er m
affirmation                                  ae / f er / m ey / sh ax n
affirmative                                  ax / f er / m ax / dx ih v
affirmatively                                ax / f er / m ax / dx ih v / l iy
affix                                        ax / f ih k s
affixes                                      ax / f ih k s
afflict                                      ax / f l ih k t
affliction                                   ax / f l ih k / sh ax n
affluence                                    ae f / l uw / ax n s
affluent                                     ae f / l uw / ax n t
afford                                       ax / f ao r d
affordable                                   ax / f ao r / d ax / b ax l
afforestation                                ax / f ao / r ax / s t ey / sh ax n
affray                                       ax / f r ey
affricate                                    ae f / r ih / k ax t
affront                                      ax / f r ah n t
afghan                                       ae f / g ae n
